"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"1599","year old girl from Chebarkul receives congratulations on a smart military range in March news",""
"1600","zlatoustovtsy bring to Chelyabinsk rally in support of foam krymagolubey news michi",""
"1601","metallurgist has extended his contract with the defender Yaroslav Khabarov news metallurgist contract",""
"1602","see today on the site first regional concert Oleg Gazmanov ishou Cirque du Soleil news",""
"1603","scientists from Nizhny Novgorod found nanocrystals in Chelyabinsk meteorite meteorite science news",""
"1604","Zlatoust robber with a knife took the proceeds from the seller news robbery zlatoust",""
"1605","Dubrovsky you make the world better and more beautiful news borisdubrovsky congratulation",""
"1606","Chelyabinsk region unfurled flag at the opening ceremony of the Paralympics Paralympic news sochi",""
"1607","Chelyabinsk prosidelsutok driver under arrest for the arrest of the imposter impostor news",""
"1608","friend Robert Etzel told about the strange state of the deceased before the fall from the second floor ro news",""
"1609","pedophile from Snezhinsk poluchillet in prison for abuse of a girl of news pedophile",""
"1610","Chelyabinsk resident arranged prosecutor's check because of the smell of sewage in the apartment news Plait",""
"1611","two foreign cars collided head-on in the northwest of Chelyabinsk have died dam accident news",""
"1612","Chelyabinsk in hospitals may appear Sobering-up stations news borisdubrovsky Sobering-up stations",""
"1613","Nikolai Svanidze I have not seen a Russian man who would fight with Ukraine news Nichol",""
"1614","accident with truck wound foreign car hit a pole on the video news post accident video",""
"1615","prisoner organized delivery of alcohol to a colony kfevralya news February colony",""
"1616","Chelyabinsk started the contest for the best Internet bank news Bank Competition",""
"1617","because of a rally in support krymamarta block the center of Chelyabinsk news Crimea rally",""
"1618","Work in the Chelyabinsk region will begin in the second half of April news Subbotnik cleaning",""
"1619","FHR president invited Oleg Znarka Bilyaletdinov after the resignation news Oleg Znarok FHR",""
"1620","geologist from the formation vyrastilsortov orchids for wife News orchid formation",""
"1621","police officer hit two pedestrians on zebra Miass Miass crash news",""
"1622","business crash that killed en spouses of top news Ufaleya closed en corncob",""
"1623","business burglar assailant banks in female guise submitted to the court a bank robbery news",""
"1624","bank employee sentenced for issuing loans to customers dummy news of credit fraud",""
"1625","Yevgeny Kuznetsov terminated the contract with the tractor news nhl Yevgeny Kuznetsov",""
"1626","Zlatoust masters stones decorated bottles of champagne for guests Paralympics news sochi",""
"1627","girl stabbed pensioner taking her lover killing his roommate's death news",""
"1628","man hid in the basement killed beloved body wrapped in a carpet news Kill Troitsk",""
"1629","Dubrovsky naprotsentov instructed to reduce the price of housing in Ozersk borisdubrovsky news about housing",""
"1630","on poachers had organized chaos on the criminal case was TAGANAY news poaching Tagan",""
"1631","Chelyabinsk parties to unite in support of Crimea Crimea News Association",""
"1632","searches in the management of sports related to Chelyabinsk Serebrennikov kickbacks from hockey news with search",""
"1633","Forum will be held in the morning of the Chelyabinsk region morning news forum",""
"1634","izmashin accident in Chelyabinsk got on two video news video suffered accident",""
"1635","ambulance collided with passenger car in Chelyabinsk suffered medical news skorayapomosch crash",""
"1636","bailiffs demolished a popular cafe in the northwest of Chelyabinsk news cafe demolition",""
"1637","Chelyabinsk Regional Court upheld Serebrennikova in jail for another month news yuriyserebrennikov glaucous",""
"1638","Chelyabinsk chamber theater offered DiCaprio role in the play captured spirits news leonardodikapr",""
"1639","War veterans complained Boris Dubrovsky on public utilities in the area of ​​news Argayashskaya borisdu",""
"1640","Chelyabinsk City Hall announced a tender for the main office for Urban Planning Competition news Grados",""
"1641","yuzhnouraltsev fry uncle killed in the fire was sent to jail news koelga Kill",""
"1642","huntsman released video hunting lawlessness under Miass Miass news poaching",""
"1643","Chelyabinsk detained Tyumentsev counterfeit bills thousandths news fake money",""
"1644","church in Chelyabinsk held captive alcoholics and drug addicts news captive church",""
"1645","Lada arranged namashiny accident has affected the parking parking accident news",""
"1646","Chelyabinsk guard bar suffocated in the smoke in case of fire fire news bar",""
"1647","Vasily Koshechkin named the best goalkeeper at the finish of the regular season CHL CHL news Koshechkin",""
"1648","students from Ozersk made prostheses for rescued in the cold duck duck news Ozersk prosthesis",""
"1649","Chelyabinsk twice mined TRC dobaviligoda strogacha news court attack",""
"1650","Woman arrested from Chelyabinsk in the Maldives on suspicion of drug trafficking news maldyvy",""
"1651","armless skier from Magnitogorsk is ranked at the Paralympics because of the lack of sports news code",""
"1652","Police are searching for a missing student from the orphanage wanted to escape news",""
"1653","Dubrovsky said to the women of the South Urals as news to his mother borisdubrovsky March",""
"1654","regional head appointed new Deputy Minister of Economic Development in the regional news artemnovikov zammin",""
"1655","relatives of a young mother killed in road accidents require vinovnikamilliona news dtp young court",""
"1656","because of wage growth doprotsentov teachers in Chelyabinsk region becomes more news teacher",""
"1657","military investigators closed the case of the death of conscript Kopeysk news sergeyprihodko suicide",""
"1658","driver who built a frontal accident in the center of Chelyabinsk got right six months ago news mazda",""
"1659","unknown zakololikoz on a farmstead in Chelyabinsk news goats slaughtered",""
"1660","night on earth asteroid fly-third more Chelyabinsk meteorite news asteroid earth",""
"1661","Jurevicha helicopter might interest seaside for emergency medical care news E",""
"1662","chelyabinku be tried for murder that she did not remember killing nepomnyu news",""
"1663","Administration presented dmodel singing fountain in the square fountain news revolution ploschadrev",""
"1664","because of a rally in support of Crimean residents block the Lenin Avenue news rally Crimea",""
"1665","under Miass burned down the house and kennel owners ssobakami news nursery fire",""
"1666","park developer promised Boris Dubrovsky take home construction schedule news Ms.",""
"1667","chelyabinke faces sentence for unauthorized connection to the gas pipeline news term",""
"1668","Dubrovsky Minstroy instructed to deal with the sale of land for large families sold land news",""
"1669","Director Miasskoe gymnasium protaranilmashiny attack because of driving crashes news Miass",""
"1670","Kopeisk trial began after the death of Robert Etzel had fallen from the second floor news robertetstel death",""
"1671","Belgians offered silent rails for trams Chelyabinsk news tram rails",""
"1672","tractor head coach let Kuznetsova in washington news tractor smiths",""
"1673","two foreign cars collided head-on in the center of Chelyabinsk have suffered accident crash news",""
"1674","Boris Dubrovsky peredmarta men can take barehanded news March borisdubrovsky",""
"1675","chelyabisky robber sought victims through rent apartments news robbing woman",""
"1676","yuzhnouraltsev support team Russia at the Paralympics Paralympics news sochi",""
"1677","in the regional center quarantine influenza and SARS quarantine flu news",""
"1678","Chelyabinsk because of differences in temperature predicted strong ice icy weather news",""
"1679","in the last match of the regular season beat metallurgist metallurgist torpedo torpedo news",""
"1680","tractor finished the regular season loss to Ak Bars news tractor Akbars result",""
"1681","chelyabintsev insure against risks in the joint construction building insurance news",""
"1682","Dubrovsky culture ready to finance for quality results borisdubrovsky cult news",""
"1683","Live match against Ak Bars tractor tractor Akbars news text",""
"1684","Upper Ufaleya houses were left without water because of the accident news verhniyufaley kommunalnayaavariya",""
"1685","tractor lost chances of reaching the playoffs CHL CHL news tractor",""
"1686","disabled from Chelyabinsk otsudiltysyach not issued for diapers diapers news pensioner Court",""
"1687","Dmitry Altman began to work the head physician in the Chelyabinsk regional hospital news dmitriyaltma",""
"1688","two major regional enterprises pay half a million for water pollution news mud pond",""
"1689","independent examination confirmed that the recruit was hanged from Kopeysk news examination soldiers",""
"1690","debtor bailiff knocked on remand car crash news bailiff",""
"1691","the match with Ak Bars tractor is said Kokueva Vasil'chenko news and composition tractor",""
"1692","resident reservoir raised house boleefialok formation hobby news",""
"1693","employee recruiting office was strangled with a handkerchief in the center Kartalov news Kartali Kill",""
"1694","Chelyabinsk held a rally in support of residents of Crimea news ukraine euromaidan",""
"1695","resident Sim arranged brawl with a gun on a police car news sim brawl",""
"1696","Chelyabinsk hunters closed winter biathlon biathlon hunting news",""
"1697","rabid fox attacked the pet dogs and people under NYAZEPETROVSK news rabies Nyazepetrovsk",""
"1698","man sentenced for false papers kchasam disease hospital fake news",""
"1699","Emergency Alert System to establish public transport chs news alert",""
"1700","information about mass mobilization because of yuzhnouraltsev Ukraine proved to be false news mobilization l",""
"1701","weekly influenza podhvatilizhiteley Chelyabinsk region SARS flu news",""
"1702","See today online oblru and tractor holes onlayntranslyatsiyu match vs Ak Bars cheer for Mr.",""
"1703","Miass land rover crumpled five cars in the guarded parking news Miass crash",""
"1704","zakg mercury on another balcony man zaplatittysyach rubles fine mercury news",""
"1705","Valery Belousov in the tractor can change trenerchempion Russian hockey news tractor",""
"1706","bailiffs took away for the debts of Chelyabinsk car owner last news loan Avtomob",""
"1707","Chelyabinsk searching old pensioner suffering blackouts news search pension",""
"1708","for the world championship in judo soshyutrostovye tiger doll zhorik news Zhorik Judo",""
"1709","in Chelyabinsk sportmagazine flooded warehouses with goods store flood news",""
"1710","boris dubrvosky Duma deputies proposed to establish working groups on initiatives news area b",""
"1711","in a foster family of Agapovsky district hanged old girl suicide girl news",""
"1712","on the fact of beating a child in kindergarten Kyshtym criminal case news beatings kindergarten",""
"1713","Korkino announced a plan to intercept looking armed gr",""
"1714","Ozersk removed from the roof on wires skiers schoolgirls schoolgirls news wires",""
"1715","Chelyabinsk looking driver brought down year student news search crashes",""
"1716","Chelyabinsk close tour operators tours in Crimea Crimea tour news",""
"1717","zlatoustovtsy videotaped explosion stuffed carnival carnival news blast",""
"1718","Square on Revolution Square will be closed for the summer news ploschadrevolyutsii Square",""
"1719","Victor Schekotova arrest extended domaya news viktorschekotov Court",""
"1720","because of growth in the euro and the dollar Chelyabinsk not abandon the euro dollar zagranpoezdok news zagranpo",""
"1721","to rob gas station unknown linked devushkuoperator",""
"1722","Tripod wound suffered inomarku pole crash baby baby news",""
"1723","middle of the road burning garbage witnesses videotaped news garbage truck fire",""
"1724","Alexander Popov released from a conviction for a slap fizruki news Lyceum Court",""
"1725","who died in a fire in the old boy himself Satke arranged news arson fire Satka",""
"1726","Chelyabinsk express an opinion about the urban scarlet field at a public hearing news buildings aloepole",""
"1727","Chelyabinsk residents waiting for flooding because of last fall's flooding rains news sergeydavydov",""
"1728","in chelyabinskeklassov closed for quarantine because of SARS growth news flu quarantine",""
"1729","Dmitry Gradoboev officially dismissed news dmitriygradoboev Urbanism",""
"1730","native to require kommunalschikovtysyach for vertebral fracture in old girl injury news",""
"1731","Chelyabinsk region searching for a missing teenager devyatiklassnitsa news search",""
"1732","Today the Orthodox Lent begins yuzhnouraltsev news Orthodoxy post Easter",""
"1733","Lydia Skoblikova transferred title Ural lightning Olga Fatkulina news olgafatkulina title",""
"1734","metallurgist prematurely won eastern conference hockey news metallurgist Akbars",""
"1735","tractor in the key match of the series yielded torpedo torpedo news tractor result",""
"1736","tractor vs Torpedo text broadcast news to readers oblru tractor dashboard text",""
"1737","Dubrovsky drew the authorities' attention Nagaybak district high unemployment news bori",""
"1738","See today online oblru and Br onlayntranslyatsiyu match vs Torpedo tractor cheer for Mr.",""
"1739","Chelyabinsk Region bloggers discuss the situation in the Ukraine news blog ukraine",""
"1740","student from Magnitogorsk Steel folk Miss Russian news missrossiya anastasiyalavrenova",""
"1741","South Urals Orthodox celebrate forgiveness Forgiveness Sunday News Sunday",""
"1742","criminal natysyach rubles robbed gas stations under Emanzhelinsk gas station robbery news",""
"1743","three children died in a fire in an apartment news",""
"1744","establish the identity of the police men crushed under foreign car crash displacement Chelyabinsk news",""
"1745","Boris Dubrovsky checked the situation in Troitsk after heating cut heating news Troitsk",""
"1746","our hokkeyvypusk otna",""
"1747","bailiffs seized the minibus with the owner during the voyage news jitney debt",""
"1748","sports nedelyavypusk otna",""
"1749","Accidents weeks otna",""
"1750","girl have failed in livnevka perenestiplasticheskih operations news operation tra",""
"1751","fraudsters tricked pensioner natysyach fraud posing as a social worker news exch",""
"1752","Magnitogorsk searching flayers brutally killed puppy and cat news Death Flayer",""
"1753","Chelyabinsk resident reported rapist operating in the area of ​​news Kurchatov violence iman",""
"1754","hooligans beat policemen came into the destroyed shop news zlatoust brawl",""
"1755","employees firehouse looking for owners of local news Hachiko Hachiko zlatoust",""
"1756","Shootouts Zaripov brought metallurgist victory over Dynamo news",""
"1757","tractor with a minimal advantage beat Knight News Knight tractor result",""
"1758","drunk driver stammers police patrol in the machine",""
"1759","Boris Dubrovsky is ready to lead the revival of the Urals news borisdubrovsky vozrozhdenieurala",""
"1760","director of the Center internetobrazovaniya magician accused of fraud namillion news magician mahi",""
"1761","Court suspended the Chinese greenhouses and under Etkul <U+FFFD>",""
"1762","eksdirektora Asha chemical plant will be tried for tax evasion news chemical plant taxes",""
"1763","boris dubrovskiyolimpiytsam I could not hold back tears news borisdubrovsky Olympians",""
"1764","tractor vs Vityaz Live for readers <U+FFFD>",""
"1765","Chrysostom resident will be judged for crash that killed young mom mom news crash court",""
"1766","Chelyabinsk bus station Bus Sinegorye otkroyutmarta news Sinegorye",""
"1767","See today online oblru and tractor holes onlayntranslyatsiyu match vs Knight cheer on",""
"1768","Chelyabinsk region will be a radically different way to build housing to reduce housing construction prices news",""
"1769","Ombudsman asked the Defense Ministry to withdraw an appeal on vyplatutysyach battered soldier news apartments",""
"1770","Emanzhelinsk resident sent to prison for hraneniekilogrammov gunpowder gunpowder news Emanzhelinsk",""
"1771","Chelyabinsk road will be built under the contract lifecycle news borisdubrovsky road",""
"1772","Chelyabinsk students helped cover hangout for heroin trafficking drugs stash news",""
"1773","dorozhniki Magnitogorsk unearthed an ancient cemetery in expanding the roadway magnets news",""
"1774","Chelyabinsk Region Governor elections will pass through the primaries election news Governor",""
"1775","had shot himself with a gun entrepreneur found an arsenal of gun suicide news",""
"1776","police detained Emanzhelinsk Thief urn with money for the temple theft Temple news",""
"1777","the taxi driver from the reservoir into the kitchen furniture collected from newspapers news seam furniture",""
"1778","Pedestrian killed crossing the road at a red light in front of cars news death crash",""
"1779","Olga Fatkulina received for Olympic silver Mersedes news olgafatkulina Sochi",""
"1780","Employees of Car news Chebarkul ukralakkumulyatorov battery theft",""
"1781","Novosineglazovo in two years builders raped schoolgirl rape news novosinegl",""
"1782","Paul Shilyaev elected CEO MMK MMK CEO news",""
"1783","police found a missing teenager in Krasnoarmeysky area five days ago news search undergrowth",""
"1784","Dubrovsky declared a moratorium on the issuance of state guarantees news gosgarantii borisdubrovsky",""
"1785","Boris Dubrovsky do so to have more children news borisdubrovsky demography",""
"1786","See today online oblru onlayntranslyatsiyu concert by Igor Demarin news broadcasts online",""
"1787","Boris Dubrovsky check the situation with heating after the accident in Troitsk Troitsk heating news",""
"1788","Chelyabinsk region will reduce the number of municipalities news borisdubrovsky municipality",""
"1789","beaten flight attendant agreed to reconcile with aviadeboshirom Tretyakov zamilliona news friction",""
"1790","bolnitsymillion girl sued for false diagnosis of cancer news cancer surgery",""
"1791","evacuated because of which children's camp news Elancik terrorism",""
"1792","dead motorist arranged accident in central Chrysostom news crash zlatoust",""
"1793","suicide because of which the evacuated children's camp detained terrorism news spruce",""
"1794","court seized property yuri Serebrennikova news property yuriyserebrennikov",""
"1795","children's camp on Lake Elancik evacuated because of a terrorist suicide news Elancik",""
"1796","crossroad on Teploteh because of flooded sewage breakthrough news flood water",""
"1797","Robbers scored Seller knife to reveal the hiding place in the store news Kasli robbery murder",""
"1798","two comrades sobutylnitsu raped and beat her with an ax murder rape news",""
"1799","minreb banned yuzhnouraltsev sell deer with plaster on the hoof news roe sale",""
"1800","who died in an accident in the Trinity was a baby in the arms of her grandmother news Troitsk child crash",""
"1801","stray dog ​​fell in love with plaster shepherd dog in the reservoir formation news",""
"1802","accused of drug trafficking chelyabinets washed criminal case into the toilet news documents drugs",""
"1803","the appeal arrest yuri Serebrennikova postponed because of illness news appeal yuriysere",""
"1804","old Chelyabinsk",""
"1805","Chelyabinsk region in the fifth day of searching for missing teen teenager news search",""
"1806","Yuzhnouralets unleashed dog on public utilities and taken into custody police arrest dog news",""
"1807","Magnitogorsk Metallurgical dry conceded home news metallurgist Vityaz Vityaz result",""
"1808","tractor began a series defeat by Dynamo Moscow news tractor dynamo result",""
"1809","Magnitogorsk old child fell into the trench heating main news child fell",""
"1810","UFD governors reminded of personal responsibility for the prevention of extremism news borisdubrov",""
"1811","in head-on collision of two zhiguley under Trinity month-old baby died the death of the baby news",""
"1812","Chelyabinsk mother of many children led a gang of drug dealers news mother drug trafficking",""
"1813","tractor vs Dynamo Moscow Live news for readers oblru tractor dynamo text",""
"1814","willful defaulter to incite the police dog brought a criminal case soda news",""
"1815","on a single play Romeo and Juliet in Chelyabi <U+FFFD>",""
"1816","Chelyabinsk pets vaccinated against rabies put free rabies vaccinations news",""
"1817","resident formation doors made from buckwheat and buckwheat door bean news",""
"1818","Oleg Znarok transferred to the small home an autograph for a fan autograph news olegznarok",""
"1819","resident Argayash soften the judge came to arrest with summer <U+FFFD>",""
"1820","tractor to play with dynamo without Finnish striker Petri Kontiola news dynamo tractor part",""
"1821","Kyshtym caregivers are asked not to dismiss a colleague accused of beating baby news Foundling",""
"1822","in an area of ​​the Chelyabinsk region began flu epidemic flu epidemic news",""
"1823","Mystic area of ​​Red Army found out how the reincarnation news mystic manuscript",""
"1824","freestyler Yegor shortest possible to win gold at home is no longer news egorkorotkov",""
"1825","wife died in a fire because of carelessness with smoking news smoking fire",""
"1826","Boris Dubrovsky invited to a meeting with governors UFD Patrushev news borisdubrovsky UFD",""
"1827","fan from Chelyabinsk specifically brought to the Olympics Fatkulina bouquet news olgafatkulina",""
"1828","driver huddled on the transition from schoolgirl Miassa daligoda koloniiposeleniya news maksimkriv",""
"1829","fixer way died in hospital after a conflict with a colleague on rails news fixer conflict displacement",""
"1830","Olympics medalist Olga Fatkulina met in Chelyabinsk with a military band news olgafatkulina",""
"1831","See today online oblru and tractor holes onlayntranslyatsiyu match vs dynamo m s sick",""
"1832","Volga flew into oncoming under vases on a snowy road accident has died the death of Sun News",""
"1833","in Chelyabinsk city council in September there will be more news Deputies gorodskayaduma depytaty",""
"1834","construction of a nuclear waste repository will make a public hearing on the news store pa",""
"1835","strategy re-sent back for revision news strategy revision",""
"1836","Dubrovsky we should form an active human environment news boridubrovsky defenders",""
"1837","car inspectors found a minibus with faulty brakes and steering malfunction news jitney",""
"1838","Director municipal utilities grozitgoda prison for non-payment of salaries news HCS Court",""
"1839","parents lost in the transition from schoolgirl Miassa require boleemillionov rubles news court IIMs",""
"1840","appeared in Chelyabinsk street relief and landscape news street Chelyabinsk",""
"1841","madness police cut off the head chelyabinke got on video news video madness",""
"1842","ivan Senichev resigned deputy gorsobraniâ Magnitogorsk news ivansenichev otsavka",""
"1843","Deputies identify places for paid parking in Chelyabinsk News parking places",""
"1844","spouses from Chelyabinsk leave work for hitchhiking travel news job",""
"1845","Chelyabinsk avtoledi received a head injury in a collision of two news Vazov travmagolovy crash",""
"1846","as head of the Chelyabinsk Regional Court declared three candidates news court appointment",""
"1847","Chelyabinsk Olga skater Fatkulina show will be aired on the evening news Urgant olgafatkulin",""
"1848","resident of Chelyabinsk region decipher the mysterious crop circles news kruginapolyah ext",""
"1849","MIA released a video extradition spouses Filimonov founding financial pyramid ve news",""
"1850","stormed the mountain skiers Taganay Defender of the Fatherland Day in news Taganay skiing",""
"1851","under Chebarkul trailer with gravel thrown onto the track news vstrechkupogib death",""
"1852","soldiers beaten in part sought to Chebarkul gosudarstvatysyach news disabled soldiers",""
"1853","Ozersk nissan flew into the parking postradalomashin news Ozersk parking crash",""
"1854","chelyabinets vyplatittysyach for false hijacking his car crash news hijacking",""
"1855","Entrepreneur of the reservoir made iron man mascot of its business news reservoir ironm",""
"1856","month old infant found dead in a garden hut news infant death",""
"1857","student astrologer Pavel Globa predicted the dynamic development of the Chelyabinsk region astrology news",""
"1858","m on the road between Chelyabinsk and Yekaterinburg limited <U+FFFD>",""
"1859","See today online oblru onlayntranslyatsiyu match polar bears vs cars cheer on our",""
"1860","Chelyabinsk residents committed suicide by plunging a knife into his chest suicide suicide news",""
"1861","old Chelyabinsk",""
"1862","station in Troitsk detained migrant workers with false news migratsionkami Troitsk gostarbayt",""
"1863","police from Ozersk beheaded woman running news Kill Satan Satan",""
"1864","Olga Fatkulina would like to participate in the next Olympics news olgafatkulina career",""
"1865","Dubrovsky checked the completion of repairs in the regional perinatal center lane news borisdubrovsky",""
"1866","for judoka of Germany Change tournament regulations memory Pyotr Sumin news petrsumin Judo",""
"1867","Snezhinsk old boy stole a video game console psp news psp theft",""
"1868","Andrew Merzlikin received the prize of the organizing committee in Chelyabinsk full arthouse film festival news kinofe",""
"1869","Castle resident restricted freedom for beating daughter poker news beating daughter",""
"1870","Boris Dubrovsky was asked to become president of the hockey club tractor news borisdubrovsky",""
"1871","Olga Fatkulina received state awards for news Olympic silver olgafatkulina state awards",""
"1872","Dubrovsky",""
"1873"," we are proud of our Olympians news borisdubrovsky Olympiad",""
"1874","zaplatittysyach accountant for failing to pay a penalty fee of her husband news Accountant",""
"1875","convicted eksmer Ozersk could not sue increase to pension news",""
"1876","Chelyabinsk postupilomillionov rubles for the construction of the federal Perinatal Center News",""
"1877","residents of Chelyabinsk region erected a fence around the house made of semiprecious stones news fence stones",""
"1878","Magnitogorsk potratilrubley fan on sms with sms news Olympiad Olympiad",""
"1879","Olympic Committee thanked the region for silver Olga Fatkulina news sochi olgaf",""
"1880","mother requires dorozhnikovtysyachza daughter drop in child livnevka news magnitogorsk",""
"1881","Chelyabinsk residents sekonomilimillionov obschedomovyh devices on accounting news HCS savings",""
"1882","See today online oblru onlayntranslyatsiyu match vs chelmet Izstal cheer for our Baltic Hotels",""
"1883","trolley crashed into a passenger car in Chelyabinsk has affected news crash trolley",""
"1884","construction of a pedestrian bridge across Khudiakova begin in March news Axle stroiteltvo",""
"1885","Masked robbers carried out unprotected bankamilliona rubles news zlatoust robbery",""
"1886","illegal parking Chelyabinsk declare amnesty News parking amnesty",""
"1887","Administration of the Chelyabinsk peresyadet on small cars news cars of domestic production",""
"1888","on behalf of Boris Dubrovsky solved the problem with heating the grocery news Bakal heating",""
"1889","Chelyabinsk region begin celebrating Shrovetide carnival news pancakes",""
"1890","old Chelyabinsk",""
"1891","multi-storey building caught fire in the fire death miassepogibli news",""
"1892","Chelyabinsk because of frost canceled classes in schools news school classes",""
"1893","to the case of slap popova priobschat fact of his film among strangers stranger among his own news Alex",""
"1894","Street Magnitogorsk old woman found dead with a knife wound news Kill magneto",""
"1895","body Tajiks killed in road accidents in the area Uvelsky deliver home news Tajiks crash",""
"1896","Olga Kabo and nina Shatskaya donated to more than one million rubles Andrew news olgakabo ninashatska",""
"1897","Zlatoust two guys beat the taxi driver for stealing cars",""
"1898","Magnitogorsk wife forgot baby in a taxi on the way from baby news hails a taxi",""
"1899","Chelyabinsk first arrange fireworks in chestfevralya news salute February",""
"1900","the holiday",""
"1901","old Chelyabinsk",""
"1902","Chelyabinsk Carnival set a record for the longest stuffed pancake news record oil",""
"1903","Police Officers got in an accident at the Komsomol prospectus crash police news",""
"1904","in Uvelsky area clashed three avtomobileypogibli news accident uvelskiyrayo",""
"1905","tractor forward Kontiola helped the Finns win bronze Olympics news",""
"1906","our hokkeyvypusk otna",""
"1907","Accidents weeks otna",""
"1908","sports nedelyavypusk otna",""
"1909","Orthodox Christians celebrate THE SATURDAY news Orthodoxy roditelskayasubbota",""
"1910","Chelyabinsk hockey players returned home after Olympics hockey news sochi",""
"1911","See today online oblru onlayntranslyatsiyu match chelmet vs Toros cheer for our online",""
"1912","October district resident arrested on suspicion of murder deer poacher murder news",""
"1913","Emanzhelinsk Chelyabinsk residents and observed false hydrochloric",""
"1914","old Chelyabinsk",""
"1915","the South Urals declared a storm warning because of frost weather temperaturynovosti",""
"1916","Magnitogorsk resident killed comrade because of jealousy news Death Kill",""
"1917","Chelyabinsk in schools canceled classes dlyaismeny news school classes",""
"1918","Finnish striker tractor Petri Kontiola will compete for the bronze medal Olympiad news petrikontiola bro",""
"1919","bus caught fire in Chelyabinsk sdetmidzyudoistami news kids bus fire",""
"1920","thousands of children will rest in camps and sanatoriums Chelyabinsk region news kids camp",""
"1921","Chelyabinsk bloggers discussed the successes and failures of the Olympiad Olympiad news blog",""
"1922","Boris Dubrovsky yuzhnouraltsev congratulated on his defenders",""
"1923","Satka climbers was sent to prison for stealing boleemillionov rubles news climbers scrying",""
"1924","South Urals skiers competed in extreme conditions in Ski Cross at the Olympics Racing News",""
"1925","two lzhenarkopolitseyskih convicted of extortion extortion news lzhenarkopolitseyskie",""
"1926","Magnitogorsk on criminal case was opened in the summer evasion evasion Army Army News",""
"1927","tractor in a test match beat motorist <U+FFFD>",""
"1928","near a residential house in the area Traktorozavodsky found charred corpse news body fire",""
"1929","best series of the program all the wonders of the Urals released on",""
"1930","Administration auctioned apartment because of which",""
"1931","upon skhodavagonov Chrysostom instituted under angle",""
"1932","Boris Dubrovsky flew to Moscow for talks borisdubrovsky news moscow",""
"1933","VicePresident metallurgist justified unethical attack Bilyaletdinov address Mozyakina news Mozyakin",""
"1934","Troitsk black snow fell news Troitsk GRES",""
"1935","Ministry of Health appointed a legal examination results <U+FFFD>",""
"1936","Magnitogorsk son killed his mother because of a bottle of beer news magnitogorsk Kill",""
"1937","please visit oblru onlayntranslyatsiyu finals Mrs. uralnovosti Competition missisural",""
"1938","for the transfer of alcohol over a fence enclosed IR poluchilgoda week before the news release",""
"1939","on Lake Turgoyak lover died ice fishing news Turgoyak death",""
"1940","today at the Olympics vystupyatfristaylistki of Chelyabinsk region news sochi Ski Cross",""
"1941","CSU collected in robokota ran for laser pointer news robot cat",""
"1942","mentally ill man fell from the window in Chelyabinsk news window drop",""
"1943","dodgers unleashed dog on public utilities and police attack dog news",""
"1944","South Ural Chesnokov stalav skier halfpipe competition news elizavetachesnokova olympiads",""
"1945","Dubrovsky Satke prevention program presented orphanhood news borisdubrovsky Satka",""
"1946","Zlatoust debtors by HCS put caps on toilet bowls news",""
"1947","Miass cat gnawed bodies of the dead cat owners news ogres",""
"1948","Valeria performed in Chelyabinsk song learning pain of defeat hockey news valeriya concert",""
"1949","Finn Petri Kontiola sure that fans of the tractor it is not offended petrikontiola career news",""
"1950","freestyler of Trekhgorny zanyalmesto at the Olympics news egorkorotkov Olympiad",""
"1951","the court did not change the sentence the guilty party to court dovatorashaumyana news crash Dovatora Shaumyana",""
"1952","double Chelyabinsk meteorite exploded in the skies over argentina argentina meteorite news",""
"1953","Director of Media Holding holes will represent the Chelyabinsk region in the Public Chamber of Russia News",""
"1954","regional parliamentarians rescheduled payment of vehicle tax news transportation tax",""
"1955","three women poisoned by carbon monoxide in the Chelyabinsk region news gas death",""
"1956","FHR may return as head coach of the hockey team Vyacheslav Bykov news sochi Vyach",""
"1957","Chelyabinsk per hour knocked two schoolchildren news crash child",""
"1958","medical examination confirmed the death of the old boy Satka rabies death baby news",""
"1959","Girl in court proved that bore a son from a roommate mother paternity news magnitogorsk",""
"1960","Dubrovsky instructed to ensure Sosnowski district ambulances news skorayapomosch borisdu",""
"1961","paramedic from Chelyabinsk given a year probation for fake sick sick fake news",""
"1962","Banker was purchased in stores by credit card issued on the client card fraud news",""
"1963","See today online oblru onlayntranslyatsiyu match vs chelmet molotprikame cheer for our",""
"1964","dispute over losses from the SEC regional trains government allows the arbitral tribunal news elements",""
"1965","chelyabinets stole bankamilliona on fake documents for credit car loan fraud news",""
"1966","old Chelyabinsk",""
"1967","road sign in a black heart appeared in Zlatoust news sign valentines",""
"1968","man set fire to the house because of a quarrel with slyudmi beloved news Kopejsk fire",""
"1969","Kopeysk colony prisoners accused of heroin trafficking of drugs Kopejsk camera news",""
"1970","Magnitogorsk canceled home games broadcast live news metallurgist metallurgist magnets",""
"1971","Chelyabinsk region in man and woman in the frozen steppe steppe death news",""
"1972","skier from Trekhgorny Egor Korotkov today by the news on the Olympic Games Ski Cross sochi",""
"1973","Russian hockey team in the Southern Urals lost in h",""
"1974","head of the region requested to revise the system of vocational education Chelyabinsk region news borisdubrovsk",""
"1975","Dubrovsky withdrew from BPC bill for compensation benefits to rural teachers borisd news",""
"1976","elderly governess kindergarten accused of beating the summer baby news kindergarten child beating",""
